Text,sentiment
"મુસ્લિમ યુવકોએ શિવલિંગ પર ચાદર ચઢાવવાનો પ્રયાસ કર્યો, DYCM દેવેન્દ્ર ફડણવીસે SIT તપાસના આદેશ આપ્યા… ",negative
દર્દનાક અકસ્માતના LIVE દ્રશ્યો: વરરાજાને લઈ જતી કારે 17 જાનૈયાનો કચ્ચરઘાણ વાળી દીધો- દુલ્હાના સગા માસીનું મોત…,negative
"સિદ્ધપુરમાંથી મળ્યા માનવ અવશેષ  
પાણીની પાઈપમાંથી મળ્યા માનવ અવશેષો  
પાણી ન આવતુ હોવાથી કર્યુ હતુ ખોદકામ  
ખોદકામ… ",negative
"ફેરા ફર્યા પહેલા વરરાજાના ચહેરા પર જોવા મળતી આ ખુશી જોવાલાયક છે.
… ",positive
"બોટાદમાં ZEE 24 કલાકના અહેવાલની ધારદાર અસર! તંત્રએ શરુ કર્યું પુલનું સમારકામ
 ",positive
"અમદાવાદના આ રસ્તાઓ બુલેટ ટ્રેન, મેટ્રોરેલ કામના કારણે બંધ


… ",negative
"ગુજરાતમાં ગરમી સંબંધિત બીમારીના ઈમરજન્સી કોલ્સથી દોડધામ


… ",negative
"રથયાત્રાના રૂટ પરના ભયજનક મકાનો અંગે ચેતવણી...
… ",negative
"ગોગલ્સ વગર વાહન ચલાવવા બદલ દંડ, એવા નિયમો જે કદાચ તમે જાણતા નથી.
… ",negative
"ગુજરાતમાં ગરમી સંબંધિત બીમારીના ઈમરજન્સી કોલ્સથી દોડધામ
… ",negative
"LSG સામેની મેચ પહેલા અર્જુન તેંડુલકરને કૂતરું કરડ્યું

",negative
"અમદાવાદની કેડી હૉસ્પિટલના સર્વર પર રેન્સમવેર એટેક! 70 હજાર ડોલરની કરાઈ માંગણી
 ",negative
"Gujarat: કોંગ્રેસના આદિવાસી નેતા ધીરુભાઈ ભીલ ભાજપના કેસરિયા ધારણ કરશે
  ",positive
,
"મલ્ટીપ્લેક્સ ઓપરેટર PVR INOX લિમિટેડ અંદાજે 50 સિનેમા સ્ક્રીનને બંધ કરવાની યોજના બનાવી રહી છે
",negative
"પોલીસે તાંત્રિક પદ્ધતિથી છેતરપિંડી કરતી ઠગ ગેંગના 10 ઠગ દબોચ્યા

",positive
,
"Gujarat: કસ્ટડીમાં માર મારવામાં આવેલા આરોપીના મૃત્યુ બાદ 3 પોલીસકર્મી સામે હત્યાનો કેસ દાખલ
",negative
"શુભમન ગિલની સતક બાદ વિરાટ કોહલીએ કર્યા વખાણ

",positive
"આ યોજનાને મુંબઈગરાએ આપ્યો ઉકૃષ્ટ પ્રતિસાદ, પાલિકાએ વસૂલ્યા કરોડો રૂપિયા 


",positive
"CM ભૂપેન્દ્ર પટેલના પુત્રની તબિયતમાં આવ્યો સુધારો  

 
… ",positive
"હવે અમદાવાદીઓને જમવા માટે નવું નજરાણું મળશે


… ",positive
"શાહરૂખ ખાને પત્ની ગૌરી ખાનની બુક “માય લાઇફ ઇન ડિઝાઇન” લોન્ચ કરી


… ",positive
સુરતમાં સિટી બસમાં પૈસા લઈને મુસાફરોને ટિકિટ ન આપનારી મહિલા કંડક્ટર સસ્પેન્ડ…,negative
"મારો પતિ જેલમાંથી મને મારવાનું પ્લાનિંગ કરે છે… આ અભિનેત્રીએ કર્યો પોતાના પતિ પર આક્ષેપ 
… ",negative
"વૃષભ સંક્રાંતિ : ગરમી ઘટશે, આગ-અકસ્માતના બનાવો વધશે… ",negative
,
આમના 'શરીફ'ની હોટ તસવીરોથી ચાહકોનાં દિલ થયાં 'બદમાશ'…,negative
ગોલ્ડન આઉટફિટમાં ગ્લેમરસ લાગતી સિલ્વર સ્ક્રિનની મલ્લિકા…,positive
"બાગેશ્વર બાબા કહે, રાજકોટમાં ડ્રગ્સ ક્યાંથી આવે છે?...

'રાજકોટમાં ડ્રગ્સ ક્યાંથી કોના ઈશારે આવે છે?

માહિતી આપશે… ",negative
"રાજકોટમાં બાબા બાગેશ્વરના દરબાર પહેલા વિવાદ

કોમર્શિયલ કો-ઓપરેટિવ બેંકના CEOનુ નિવેદન

પુરશોત્તમ પીપરિયાએ ફેસબૂક એ… ",negative
"🔆MBBSના વિદ્યાર્થીઓ માટે એક વર્ષ ઇન્ટર્નશીપ ફરજિયાત રહેશે...
… ",positive
"Rajkot: દેશ અને રાજ્યમાં બેરોજગારી છે જ નહીં: રામ મોકરિયા
 ",negative
"સોશિયલ મીડિયા પર એક વીડિયો ઝડપથી વાયરલ થઈ રહ્યો છે, જેમાં તમે જોઈ શકો છો કે મેટ્રોના એનાઉન્સરની નકલ કરનાર વ્યક્તિએ… ",negative
"બાગેશ્વર ધામના કથાકાર ધીરેન્દ્ર શાસ્ત્રી ગુજરાત આવશે  
અમદાવાદ, સુરત અને રાજકોટમાં યોજશે દરબાર  
હાલમાં ત્રણેય શહે… ",positive
Mumbai: શાહરૂખ ખાને પત્ની ગૌરી ખાનની બુક “માય લાઇફ ઇન ડિઝાઇન” લોન્ચ કરી,positive
"ખ્રિસ્તી ધર્મ અપનાવનારા આદિવાસી સમુદાયના ઘણા લોકો હવે IAS અને IPS બની રહ્યા છે: ગેનીબેન ઠાકોર

",positive
"ઉત્તર ગુજરાતના બે તાલુકાના 74 તળાવોમાં ધરોઈ ડેમમાંથી પાણીથી ભરવામાં આવશે
",positive
"રૂ.5,000 કરોડ ક્રિકેટ સટ્ટાકાંડ કેસ: મેટ્રો કોર્ટે ત્રણ આરોપીઓના પાંચ દિવસના રિમાન્ડ મંજૂર કર્યા

વધુ માહિતી માટે… ",negative
"ભરૂચમાં 100 હિન્દુઓના ધર્મપરિવર્તન કરાવવાનો મામલો: હાઈકોર્ટે આરોપી મૌલવીની અરજી ફગાવી

",positive
"સુપ્રીમ કોર્ટના આદેશ અનુસાર હાઈકોર્ટે 68માંથી 40 જજોના પ્રમોશન રદ કર્યા, આ અંગે નોટિફિકેશન બહાર પાડ્યું
",negative
"ભારતને વૈશ્વિક ફાર્માસ્યુટિકલ હબ તરીકે ઓળખવામાં આવે છે : ડૉ. મનસુખ માંડવિયા
",positive
"ગુજરાત રેલવે પોલીસે 21 ગેંગની યાદી તૈયાર કરી, જે ગુજરાતના શહેરોમાં ચોરી કરી રેલ્વેમાં બેસી ભાગી જાય છે
",negative
"નોઈડામાં હવાલાની 50 લાખની રોકડ ઝડપાઈ 
 ",negative
"સુરતમાં યુવકની ધોલાઈનો વીડિયો વાયરલ

પાંડેસરામાં બે મહિલાઓએ યુવકને માર માર્યો

વીડિયોમાં મહિલાઓ હેરાનગતિની વાત કરી… ",negative
"અમદાવાદની રથયાત્રામાં જગતના નાથનું અનોખું ભરાશે મામેરૂ
",positive
"બાગેશ્વર ધામના ધીરેન્દ્ર શાસ્ત્રી આવશે ગુજરાત
26 અને 27 મે સુરતમાં દિવ્ય દરબાર યોજશે 
29 અને 30 મે અમદાવાદમાં યોજા… ",positive
"બાગેશ્વર ધામના ધીરેન્દ્ર શાસ્ત્રી આવશે ગુજરાત 
અમદાવાદ, સુરત અને રાજકોટમાં યોજશે દરબાર 
હાલમાં ત્રણેય શહેરોમાં ચાલી… ",positive
"યુક્રેનના રાષ્ટ્રપતિ ઝેલેન્સકી UKની મુલાકાતે, વડા પ્રધાન ઋષિ સુનકે કર્યું સ્વાગત 

 … ",positive
"હવે દવાની પ્રેકટીસ કરવા નવા નિયમો થશે લાગુ


… ",positive
,
"છત્તીસગઢમાં 2000 કરોડનું દારૂ કૌભાંડ, EDએ કર્યો ચોંકાવનારો ખુલાસો … ",negative
"મુખ્યમંત્રી ભૂપેન્દ્ર પટેલના પુત્ર અનુજ પટેલની તબિયત સુધારા પર 
… ",positive
"ફોટો પડાવતા સમયે એવી ઘટના બની કે આ બંને ક્યારેય વાઘ સાથે ફોટો પડાવવાનું નામ નહીં લે!
… ",negative
સસ્ટેનેબલ ડેવલપમેન્ટ ગોલ્સની પ્રગતિને માપવા માટે MPનું ભોપાલ ભારતનું પ્રથમ શહેર બન્યું,positive
"ફુગાવાના કારણે ચોખા, લોટ અને બટાકાના ભાવમાં વધારો  
",negative
"ન્યૂઝીલેન્ડમાં 4 માળની હોસ્ટેલમાં આગ

આગમાં 6 લોકોના મોત",negative
"હવેથી કાપડ લેતા પહેલા તેમાંથી બનેલો શર્ટ કેવો લાગશે તે આવી રીતે ચેક કરી શકશો!
… ",positive
💁🏻‍♂️એકલો જ  ઘણો છું...…,positive
world health day: માનવી ગોરી ત્વચા માટે તેના પર પ્રયોગો કરી ત્વચાને નુકસાન પહોંચાડી રહ્યો છે.  👉🏽👉🏽…,negative
ટાઇગર શ્રોફ અને દિશા પટનીના ખાસ સંંબંધ પર માતા આયશા શ્રોફનું મોટું નિવેદન સામે આવ્યું છે.…,negative
"અમદાવાદની મહિલા 100મું રક્તદાન કરી ભારતમાં રેકોર્ડ બનાવશે  👉🏽👉🏽 
",positive
"જૂનાગઢ: સતત બીજા દિવસે રોપ વે સેવા બંધ

ગિરનાર પર્વત પર ભારે પવન ફૂંકાતા રોપ વે બંધ

યાત્રીકોની સલામતીને ધ્યાને લઈ… ",negative
#CNBCBajar | 4 સપ્તાહના ઘટાડા બાદ ક્રૂડમાં તેજી | આજે વ્હાઈટ હાઉસમાં કોંગ્રેસના નેતાઓ સાથે જો બાઈડેન કરશે બેઠક…,positive
"આજે ગ્લોબલ સંકેતો આપી રહ્યા છે સાથ
76% વધી શકે છે ભારતીનો નફો
કર્ણાટકના CM કોણ?… ",positive
"#CNBCBajar | થી  ભારતીય બજારો માટે સારી શરૂઆતના સકેંત, લગભગ 50 પોઈન્ટ ઉપર… ",positive
આજના તાજા સમાચાર : ગુજરાત સહિત દેશ વિદેશના તમામ પ્રકારના સમાચારની અપડેટ અહીં મળશે.…,positive
Rozgar Mela: વડાપ્રધાન નરેન્દ્ર મોદી રોજગાર મેળા અંતર્ગત આજે 71 હજાર યુવકોને અપોઇન્ટમેન્ટ લેટર સોંપશે. વડાપ્રધાન મો…,positive
"વલસાડમાં રખડતા ઢોરનો ત્રાસ યથાવત

આખલાએ જૈન મુનિ અને સાધ્વીને અડફેટે લીધા

વિહાર કરતા હતા તે સમયે ઢોરે કર્યો હુમલો… ",negative
"મહેસાણા: કડી APMCમાં એરંડાની આવક

22 દિવસમાં 2 લાખ બોરીથી વધુ એરંડાની આવક

એરંડાનો 1180થી 1260 રૂપિયા નોંધાયો ભાવ… ",positive
"વડોદરા: SSG હોસ્પિટલની બેદરકારી

હોસ્પિટલમાં શ્વાનના આંટાફેરા જોવા મળ્યા

બકેટમાંથી રોટલી લઈને ભાગતુ શ્વાન કેમેરામા… ",negative
"AMCની સ્ટાફ સિલેકશન કમિટીની બેઠક

કમિશનર, ચેરમેન સહિતના અધિકારીઓ રહેશે હાજર

કર્મચારીઓની બઢતી અંગે લેવાશે નિર્ણય

એ… ",positive
"મધ્યપ્રદેશ: નર્મદા નદીમાં બોટ પલટી

બોટમાં સવાર તમામ લોકો ભાવનગરના હતા

ઘટનામાં ભાવનગરના એક બાળકનું મોત

એક જ પરિવા… ",negative
"ધારો એટલું મળી જાય તો પણ ધારો એટલું માણી નથી શકાતું.
… ",negative
"ગીર સોમનાથઃ ડૉ. અતુલ ચગ આપઘાત કેસમાં જૂનાગઢના સાંસદ રાજેશ ચૂડાસમા વિરુદ્ધ નોંધાયો ગુનો 
… ",negative
"અમદાવાદ: કબૂતરબાજી કેસમાં PI ડી.ડી.શિમ્પી સામે ચોંકાવનારા આક્ષેપ


… ",negative
,
,
"ડો. અતુલ ચગ આત્મહત્યા કેસમા આખરે પોલીસ ફરીયાદ નોંધાઈ ,સાંસદ અને તેમના પિતા વિરુદ્ધ નોધાઈ ફરીયાદ,ત્ર… ",negative
"અમદાવાદ કોર્પોરેશનની સામાન્ય સભામાં વિપક્ષ નેતા શહેજાદ ખાન પઠાણે ઉઠાવ્યો હાટકેશ્વર બ્રિજનો મુદ્દો  
… ",negative
"તંત્રની ખુલ્લી પોલ, સેન્ટ્રલ જેલની અંદર પણ કેદીઓએ મોબાઈલ છુપાવીને રાખ્યા હતા.  આખરે જવાબદાર કોણ?… ",negative
"મધ્યપ્રદેશના ઓમકારેશ્વરમાં નર્મદા નદીમાં હોડી પલટી જતા 6 લોકો ડૂબ્યા
 ",negative
"બોટાદ કસ્ટોડિયલ ડેથ કેસમાં 3 પોલીસ કોન્સ્ટેબલ સામે નોંધાઈ ફરિયાદ 
 ",negative
"અમરેલીમાં 2 વર્ષના બાળક પર માનવભક્ષી દીપડાએ હુમલો કર્યો, સપ્તાહમાં ત્રીજી ઘટના
… ",negative
,
,
"નર્મદાના કેવડિયામાં આગામી 19, 20, 21 મેના યોજાશે રાજ્ય સરકારની ચિંતન શિબિર
 ",positive
માતા-પિતા ચેતજો: રાજકોટમાં દોઢ વર્ષના બાળકની શ્વાસનળીમાં ફસાયેલાં  સીંગના દાણાને દૂરબીનથી કાઢ્યો- જુઓ LIVE વિડીયો…,negative
,
"VVIP માટે અડધી રાતે ભરાયો ધીરેન્દ્ર શાસ્ત્રીનો દિવ્ય દરબાર, અડધીરાતે ધીરેન્દ્ર શાસ્ત્રી કરતા દેખાયા…… ",positive
"નબળી કામગીરીની ખુલી પોલ! હિંમતનગરના મોતીપુરામાં ડ્રેનેજમાં ખાબક્યું 12 ટાયરનું ડમ્પર
 ",negative
ગુજરાત બોર્ડ ટૂંક સમયમાં ધોરણ-10નું પરિણામ જાહેર કરશે…,positive
"CCTV: વડોદરાના વાઘોડિયામાં વરરાજાની ગાડીએ 15 લોકોને લીઘા અડફેટે 
 ",negative
"વડોદરાના વાઘોડિયામાં વરઘોડામાં વરરાજાને લઈને જતી કારના ચાલકે 17 લોકોને અડફેટે લીધા  

વરરાજાની માસીનું કચડાઈ જતાં… ",negative
"રોડ રસ્તાના પ્રશ્નોનું નિરાકરણ ન આવતા શીવનગરના રહીશો બેઠાં ધરણા પર
 ",negative
,
"કચ્છમાં અકસ્માતના પગલે ભુજોડી ગામનો પ્રવેશદ્વાર તૂટી પડ્યો!
 ",negative
,
"વાહનોમાં ફેન્સી નંબર પ્લેટ કે લખાણો હોય તો કાઢી નાખજો, ટ્રાફિક પોલીસે બોલાવી તવાઈ, 123 વાહનો ડિટેન… ",negative
"વધશે છોટે નવાબની મુશ્કેલી?: 11 વર્ષ જૂના કેસની આગામી મહિને શરૂ થઈ શકે છે સુનાવણી
… ",positive
"ભારત અને ઓસ્ટ્રેલિયા વચ્ચે યોજાનારી WTC ફાઈનલ પહેલા ICC દ્વારા ટેસ્ટ મેચના નિયમોમાં ફેરફાર
",negative
"ભારતીય શેરબજારમાં અઠવાડિયાના પહેલા ટ્રેડિંગના દિવસે તેજી

વધુ માહિતી માટે - 
… ",positive
માધુપુરા સટ્ટાકાંડ: SMCએ પકડેલા નિલેશ રામીના ઘરમાંથી 22.20 લાખ રોકડા મળ્યા: IT-EDને કરાઈ જાણ…,positive
ટ્રાફિકથી બચવા માટે બચ્ચને અજાણ્યા બાઇકસવારની મદદ લીધી…,positive
"રાજકોટમાં મર્સિડીઝે ટક્કર મારતા યુવકનું મોત! મૃતકના પરિવારજનોએ ન્યાયની કરી માગ
 ",negative
કોણ બનશે કર્ણાટકના મુખ્યમંત્રી? કોંગ્રેસના રાષ્ટ્રીય અધ્યક્ષ મલ્લિકાર્જુન ખડગે દ્વારા આજે થઈ શકે છે સતાવાર જાહેરાત…,positive
"પ્લાસ્ટીકની બોટલના ઢાંકણામાંથી બનાવ્યો અનોખો બેલ્ટ
… ",positive
"જાણો રાજયમાં કયારે પડશે વરસાદ, અંબાલાલ પટેલે કરી આગાહી

",positive
"ધ કેરળ સ્ટોરી': સુપ્રીમ કોર્ટ મંગળવારે ફિલ્મની રિલીઝ સામેની અરજી પર સુનાવણી કરશે 
… ",negative
"વિદેશી નંબરો પરથી આવતા કોલ અને મેસેજથી સાવધાન, જાળમાં ફસાયા તો થઈ જશે મોટો ફ્રોડ.
… ",negative
"વડોદરામાં જાહેરમાં પિચકારી મારનાર 47 વાહન ચાલકોને તંત્રએ ફટકાર્યો દંડ
 ",negative
અમદાવાદ: AMTSના ડ્રાઇવર કરી રહ્યા છે નિયમોની ઐસીતૈસી! સીટ બેલ્ટ વિના પૂરપાટ બસ દોડાવતો ડ્રાઇવર કેમેરામાં કેદ…,negative
"રોડ રસ્તાના પ્રશ્નોનું નિરાકરણ ન આવતા શીવનગરના રહીશો બેઠાં ધરણા પર
 ",negative
"આર્યન ખાન ડ્રગ કેસ: CBI FIR વિગતો 25 કરોડની ઉચાપતનું 'ષડયંત્ર', સમીર વાનખેડે સામે 'ભ્રષ્ટાચારનો' આરોપ… ",negative
"બ્રિટિશરો એ The Kerala Story ના શો UKમાં કેન્સલ કર્યા

બ્રિટિશ બોર્ડ ઓફ ફિલ્મ ક્લાસિફિકેશન (BBFC) તરફથી 12મી મેના… ",negative
"સુનીલ ગાવસ્કરે ધોનીના ફેન બનીને મેદાનની વચ્ચે શર્ટ પર લીધો ઓટોગ્રાફ.
.
. … ",positive
,
,
"અમદાવાદમાં AMTSના ડ્રાઈવરનો વીડિયો વાયરલ

ચાલુ બસમાં ફોન પર વાત કરતા ડ્રાઈવરનો વીડિયો

સિટ બેલ્ટ નહીં, ચાલુ બસમાં… ",negative
"વડોદરા:  પાદરામાં વૃદ્ધ દંપતિની લાશ મળી

ઘરમાંથી મળ્યા વૃદ્ધ દંપતિના મૃતદેહ

અસહ્ય ગરમીના કારણે મોત થયાની આશંકા

પા… ",negative
"મ્યાંમારમાં મોકા વાવાઝોડાના કારણે 6નાં મોત, ઘરની છત અને મોબાઈલ ટાવર ઊડી ગયાં
… ",negative
,
"આર્ટિફિશિયલ ઇન્ટેલિજન્સને લઈ ગૂગલના સહ-સ્થાપકોની સંયુક્ત સંપત્તિમાં $18 બિલિયનથી વધુનો વધારો

",positive
,
"Vadodara: નડા ગામના તળાવમાંથી બાળકનો મૃતદેહ મળ્યો, 4 કલાકની ભારે જહેમત બાદ ફાયર ફાયટરને મળી સફળતા
… ",negative
"સુરતના મેયર આકરા પાણીએ

સીટી બસ ચાલકો સામે લાલ આંખ કરી

પુરપાટ ઝડપે અને બેદરકારી રીતે બસ હંકારનાર સામે લાલ આંખ કરી… ",negative
રાજ્યની પ્રાથમિક શાળાના શિક્ષક મિત્રોના હિત માટે મહત્વપૂર્ણ નિર્ણય...…,positive
,
